TagName	Sprache	Uebersetzung	creation date yyyymmdd	Position
LangTagFieldAddress	eng	Address	date20030218	
LangTagFieldAddress	esp	Calle, Nº	date20030218	
LangTagFieldAddress2	deu	Straße 2	date20030218	
LangTagFieldAddress2	eng	Address 2	date20030218	
LangTagFieldAddress2	esp	Provincia	date20030218	
LangTagFieldZipCode	deu	PLZ	date20030218	
LangTagFieldZipCode	eng	Zip Code	date20030218	
LangTagFieldZipCode	esp	Cod. postal	date20030218	
LangTagFieldCity	deu	Ort	date20030218	
LangTagFieldCity	eng	City	date20030218	
LangTagFieldCity	esp	Localidad	date20030218	
LangTagFieldState	deu	Land	date20030218	
LangTagFieldState	eng	State	date20030218	
LangTagFieldState	esp	País	date20030218	
LangTagFieldEmail	deu	Email	date20030218	
LangTagFieldEmail	eng	Email	date20030218	
LangTagFieldEmail	esp	Email	date20030218	
LangTagFieldPhone	deu	Telefon	date20030218	
LangTagFieldPhone	eng	Phone	date20030218	
LangTagFieldPhone	esp	Teléfono	date20030218	
LangTagFieldFax	deu	Fax	date20030218	
LangTagFieldFax	eng	Fax	date20030218	
LangTagFieldFax	esp	Fax	date20030218	
LangTagFieldShippingAddress	deu	Abweichende Lieferadresse	date20030218	
LangTagFieldShippingAddress	eng	Shipping address	date20030218	
LangTagFieldShippingAddress	esp	Dirección de envio	date20030218	
LangTagCheckboxConditions	deu	AGB	date20030218	
LangTagCheckboxConditions	eng	Conditions	date20030218	
LangTagCheckboxConditions	esp	Condiciones generales	date20030218	
LangTagCheckboxConditionsValue	deu	gelesen	date20030218	
LangTagCheckboxConditionsValue	eng	checked	date20030218	
LangTagCheckboxConditionsValue	esp	Leído y aceptado	date20030218	
//LangTagTextSaveData	deu	Eingegebene Formulardaten speichern	date20030218	Tabellenüberschrift buy3.htm
//LangTagTextSaveData	eng	Save the formular data	date20030218	
//LangTagTextSaveData	esp	Guardar datos	date20030218	
LangTagHeadOrderData	deu	Bestelldaten	date20030218	
LangTagHeadOrderData	eng	Order data	date20030218	
LangTagHeadOrderData	esp	Datos de pedido	date20030218	
LangTagTextTextField	deu	Text	date20030218	Shoppage
LangTagTextTextField	eng	Text	date20030218	
LangTagTextTextField	esp	Texto	date20030218	
LangTagTextNoItems	deu	In dieser Warengruppe gibt es zur Zeit keine Produkte und keine weiteren Unterwarengruppen. 	date20030218	
LangTagTextNoItems	eng	No items are listed in this product group.	date20030218	
LangTagTextNoItems	esp	No hay artículos ni subcategorías en esta categoría. 	date20030218	
LangTagTextItems	deu	Bitte wählen Sie die gewünschte Warengruppe aus:	date20030218	
LangTagTextItems	eng	Please choose the relevant product group:	date20030218	
LangTagTextItems	esp	Seleccione la categoría:	date20030218	
//LangTagTextQuantity	deu	Menge	date20030218	Überschrift Seite thankyou
//LangTagTextQuantity	eng	Quantity	date20030218	
//LangTagTextQuantity	esp	Cantidad	date20030218	
LangTagTextThanks	deu	Danke	date20030218	
LangTagTextThanks	eng	Thanks	date20030218	
LangTagTextThanks	esp	Gracias	date20030218	
			date20030218	
//NEUE TAGS :			date20030218	
LangTagDetails	deu	Details	date20030218	
LangTagDetails	eng	Details	date20030218	
LangTagDetails	esp	Detalles	date20030218	
LangTagTextSearchResults	deu	Suchresultate	date20030218	
LangTagTextSearchResults	eng	Search Results	date20030218	
LangTagTextSearchResults	esp	Resultados de la búsqueda	date20030218	
LangTagTextSearchEnter	deu	Bitte einen Suchbegriff eingeben!	date20030218	
LangTagTextSearchEnter	eng	Please enter a word to search for!	date20030218	
LangTagTextSearchEnter	esp	¡Indique un término de búsqueda!	date20030218	
LangTagTextSearchNoResult	deu	nicht gefunden!	date20030218	
LangTagTextSearchNoResult	eng	not found!	date20030218	
LangTagTextSearchNoResult	esp	no encontrado!	date20030218	
LangTagSearchItems	deu	Artikel	date20030218	
LangTagSearchItems	eng	Items	date20030218	
LangTagSearchItems	esp	Artículos	date20030218	
LangTagTextItem	deu	Artikel	date20030218	
LangTagTextItem	eng	Item	date20030218	
LangTagTextItem	esp	Artículos	date20030218	
LangTagTextQuantity	deu	Menge	date20030218	
LangTagTextQuantity	eng	Quantity	date20030218	
LangTagTextQuantity	esp	Cantidad	date20030218	
LangTagTextUnitPrice	deu	Einzelpreis	date20030218	
LangTagTextUnitPrice	eng	Unit Price	date20030218	
LangTagTextUnitPrice	esp	Precio/Unid.	date20030218	
LangTagTextShortVAT	deu	MwSt.	date20030218	
LangTagTextShortVAT	eng	VAT	date20030218	
LangTagTextShortVAT	esp	I.V.A.	date20030218	
LangTagTextTotalPrice	deu	Gesamtpreis	date20030218	
LangTagTextTotalPrice	eng	Total Price	date20030218	
LangTagTextTotalPrice	esp	Precio subtotal	date20030218	
LangTagTextSecondCurrency	deu	Dies entspricht einem Preis von	date20030218	
LangTagTextSecondCurrency	eng	This corresponds to a price of	date20030218	
LangTagTextSecondCurrency	esp	Esto es	date20030218	
LangTagTextOrderTotal	deu	Total	date20030218	
LangTagTextOrderTotal	eng	Order Total	date20030218	
LangTagTextOrderTotal	esp	Pedido subtotal	date20030218	
LangTagTextVAT	deu	MwSt.	date20030218	
LangTagTextVAT	eng	VAT	date20030218	
LangTagTextVAT	esp	I.V.A.	date20030218	
LangTagTextInteger	deu	Bitte eine ganzzahlige positive Anzahl eingeben!	date20030218	
LangTagTextInteger	eng	Please enter a positive integer!	date20030218	
LangTagTextInteger	esp	¡Por favor, introduzca un número entero positivo!	date20030218	
LangTagTextRemoveItem	deu	Entfernen	date20030218	
LangTagTextRemoveItem	eng	Remove	date20030218	
LangTagTextRemoveItem	esp	Eliminar	date20030218	
LangTagTextUpdateItem	deu	Aktualisieren	date20030218	
LangTagTextUpdateItem	eng	Update	date20030218	
LangTagTextUpdateItem	esp	Actualizar	date20030218	
LangTagTextRemoveConfirm	deu	Möchten Sie wirklich alle Artikel aus dem Einkaufswagen entfernen?	date20030218	
LangTagTextRemoveConfirm	eng	Do you really want to remove all items from the basket?	date20030218	
LangTagTextRemoveConfirm	esp	¿De verdad desea eliminar todos los artículos de la cesta?	date20030218	
LangTagTextRabat	deu	Mengenrabatt	date20030218	
LangTagTextRabat	eng	Quantity discount	date20030218	
LangTagTextRabat	esp	Descuento	date20030218	
LangTagTextChooseAttribute	deu	Bitte 	date20030218	
LangTagTextChooseAttribute	eng	Please choose the	date20030218	
LangTagTextChooseAttribute	esp	Por favor, elija	date20030218	
LangTagTextChooseAttribute2	deu	 wählen!	date20030218	
LangTagTextChooseAttribute2	eng	 	date20030218	
LangTagTextChooseAttribute2	esp	Selccionar!	date20030218	
LangTagTextAddItem	deu	Hinweis:\nDer Artikel befindet sich bereits im Korb.\nSoll die Anzahl addiert werden?\nClicken Sie OK zum Addieren,\nKlicken Sie Abbrechen zum Ersetzen\n	date20030218	
LangTagTextAddItem	eng	Notice:\nThis item is already in the basket.\nDo you want to add the quantity?\nClick OK to add,\nclick Abort to replace.\n	date20030218	
LangTagTextAddItem	esp	Atención:\nEl articulo ya está en la cesta.\nClique OK para agregar,\nClique el otro boton para cancelar.	date20030218	
LangTagTextBasketItem	deu	 Artikel im Warenkorb	date20030218	
LangTagTextBasketItem	eng	 Item(s) in the basket.	date20030218	
LangTagTextBasketItem	esp	Articulo(s) en la cesta	date20030218	
LangTagTextBasketEmpty	deu	Keine Artikel im Warenkorb	date20030218	
LangTagTextBasketEmpty	eng	The basket is empty.	date20030218	
LangTagTextBasketEmpty	esp	La cesta está vacía.	date20030218	
LangTagTextBeforeUnload	deu	Sie haben Artikel im Warenkorb. Wenn Sie diesen Shop verlassen, wird Ihr Warenkorb geleert.	date20030218	
LangTagTextBeforeUnload	eng	You have items in your basket. After leaving this shop all items will be removed from your basket.	date20030218	
LangTagTextBeforeUnload	esp	Hay articulos en la cesta. Después de salir de la tienda todos los articulos serán eliminados.	date20030218	
LangTagTextPostage	deu	Versandkosten	date20030218	
LangTagTextPostage	eng	Shipping charges	date20030218	
LangTagTextPostage	esp	Gastos de envío	date20030218	
LangTagTextMaxQuantity	deu	Die maximale Bestellmenge ist	date20030218	
LangTagTextMaxQuantity	eng	The maximum order quantity is	date20030218	
LangTagTextMaxQuantity	esp	La cantidad máxima de pedido es	date20030218	
LangTagTextViewBasket	deu	Warenkorb anzeigen	date20030218	
LangTagTextViewBasket	eng	View Basket	date20030218	
LangTagTextViewBasket	esp	¿Ver cesta?	date20030218	
LangTagTextMinOrderValue1	deu	Sie haben Artikel für	date20030218	
LangTagTextMinOrderValue1	eng	You have articles for	date20030218	
LangTagTextMinOrderValue1	esp	Tiene artículos por	date20030218	
LangTagTextMinOrderValue2	deu	in Ihrem Warenkorb.\nDer Mindestbestellwert von	date20030218	
LangTagTextMinOrderValue2	eng	in your basket.\nThe least order value by	date20030218	
LangTagTextMinOrderValue2	esp	en su cesta.\nEl valor mínimo de pedido	date20030218	
LangTagTextMinOrderValue3	deu	ist noch nicht erreicht.	date20030218	
LangTagTextMinOrderValue3	eng	is not reached yet.	date20030218	
LangTagTextMinOrderValue3	esp	Aún no se ha alcanzado.	date20030218	
LangTagTextPleaseEnter	deu	Bitte eingeben:	date20030218	
LangTagTextPleaseEnter	eng	Please enter:	date20030218	
LangTagTextPleaseEnter	esp	Por favor, introduzca:	date20030218	
LangTagTextEmailAddressIncorrect	deu	Fehler im Feld Email-Adresse	date20030218	
LangTagTextEmailAddressIncorrect	eng	The Email address is not correct	date20030218	
LangTagTextEmailAddressIncorrect	esp	Email incorrecto	date20030218	
LangTagFinancialInstitution	deu	Geldinstitut	date20030218	
LangTagFinancialInstitution	eng	Financial Institution	date20030218	
LangTagFinancialInstitution	esp	Entidad bancaria	date20030218	
LangTagBankCodeNumber	deu	BLZ	date20030218	
LangTagBankCodeNumber	eng	Bank Code	date20030218	
LangTagBankCodeNumber	esp	Clave bancaria	date20030218	
LangTagAccountNumber	deu	Kontonummer	date20030218	
LangTagAccountNumber	eng	Account Number	date20030218	
LangTagAccountNumber	esp	Código Cuenta Cliente	date20030218	
LangTagAccountHolder	deu	Kontoinhaber	date20030218	
LangTagAccountHolder	eng	Account Holder	date20030218	
LangTagAccountHolder	esp	Titular de la cuenta	date20030218	
LangTagCreditCard	deu	Kreditinstitut	date20030218	
LangTagCreditCard	eng	Credit Card	date20030218	
LangTagCreditCard	esp	Tarjeta de crédito	date20030218	
LangTagExpirationDate	deu	Gültig bis	date20030218	
LangTagExpirationDate	eng	Expiration Date	date20030218	
LangTagExpirationDate	esp	Válido hasta	date20030218	
LangTagMonth	deu	Monat	date20030218	
LangTagMonth	eng	Month	date20030218	
LangTagMonth	esp	Mes	date20030218	
LangTagYear	deu	Jahr	date20030218	
LangTagYear	eng	Year	date20030218	
LangTagYear	esp	Año	date20030218	
LangTagMonthExpirationDate	deu	Monat der Gültigkeit Ihrer Kreditkarte	date20030218	
LangTagMonthExpirationDate	eng	Month of the Expiration Date	date20030218	
LangTagMonthExpirationDate	esp	Mes de validez	date20030218	
LangTagYearExpirationDate	deu	Jahr der Gültigkeit Ihrer Kreditkarte	date20030218	
LangTagYearExpirationDate	eng	Year of the Expiration Date	date20030218	
LangTagYearExpirationDate	esp	Año de validez	date20030218	
LangTagCreditCardNumber	deu	Kreditkartennummer	date20030218	
LangTagCreditCardNumber	eng	Credit Card Number	date20030218	
LangTagCreditCardNumber	esp	Número de tarjeta	date20030218	
LangTagCreditCardHolder	deu	Kreditkarteninhaber	date20030218	
LangTagCreditCardHolder	eng	Credit Card Holder	date20030218	
LangTagCreditCardHolder	esp	Titular de tarjeta	date20030218	
LangTagTextConfirmConditons	deu	Bitte bestätigen Sie unsere AGB	date20030218	
LangTagTextConfirmConditons	eng	Please confirm our Conditions	date20030218	
LangTagTextConfirmConditons	esp	Por favor, confirme haber leído nuestras condiciones generales	date20030218	
LangTagTextEncludedVAT	deu	Enthaltene	date20030218	
LangTagTextEncludedVAT	eng	Included	date20030218	
LangTagTextEncludedVAT	esp	Inclusive	date20030218	
LangTagTotalAmount	deu	Rechnungsbetrag	date20030218	
LangTagTotalAmount	eng	Total Amount	date20030218	
LangTagTotalAmount	esp	Importe de la factura	date20030218	
LangTagTextPleaseChoose	deu	Bitte wählen	date20030218	
LangTagTextPleaseChoose	eng	Please choose	date20030218	
LangTagTextPleaseChoose	esp	Seleccione, por favor	date20030218	
x			date20030218	
LangTagNextPageLinkName	deu	nächste	date20030218	
LangTagNextPageLinkName	eng	next	date20030218	
LangTagNextPageLinkName	esp	Siguiente	date20030218	
LangTagPrevPageLinkName	deu	vorherige	date20030218	
LangTagPrevPageLinkName	eng	previous	date20030218	
LangTagPrevPageLinkName	esp	Anterior	date20030218	
			date20030315	
x			date20030315	
LangTagNoImage	deu	kein Bild!	date20030315	
LangTagNoImage	eng	no image!	date20030315	
LangTagNoImage	esp	¡sin imagen!	date20030315	
x			date20030315	
LangTagIssueNumber	deu	Nummer	date20030315	
LangTagIssueNumber	eng	Issue Number	date20030315	
LangTagIssueNumber	fra	Numéro	date20030315	
LangTagIssueNumber	esp	Número	date20030315	
			date20030315	
LangTagSecurityCode	deu	Prüfnummer2	date20030315	
LangTagSecurityCode	eng	Security Code	date20030315	
LangTagSecurityCode	fra	Numéro2	date20030315	
LangTagSecurityCode	esp	Número de control	date20030315	
x			date20030315	
LangTagCharset	deu	iso-8859-1	date20030315	
LangTagCharset	eng	iso-8859-1	date20030315	
LangTagCharset	esp	iso-8859-1	date20030315	
LangTagCharset	plk	iso-8859-2	date20030315	
LangTagCharset	trk	iso-8859-9	date20030323	
x			date20030502	
LangTagCharsetIso	deu	iso-8859-1	date20030502	
LangTagCharsetIso	eng	iso-8859-1	date20030502	
LangTagCharsetIso	esp	iso-8859-1	date20030502	
LangTagCharsetIso	plk	iso-8859-2	date20030502	
LangTagCharsetIso	trk	iso-8859-9	date20030502	
x				
LangTagCharsetWindows	deu	windows-1252	date20030502	
LangTagCharsetWindows	eng	windows-1252	date20030502	
LangTagCharsetWindows	esp	windows-1252	date20030502	
LangTagCharsetWindows	plk	windows-1250	date20030502	
LangTagCharsetWindows	trk	windows-1254	date20030502	
x				
LangTagTermsAndCondChecked	deu	gelesen	date20030502	
LangTagTermsAndCondChecked	eng	checked	date20030502	
LangTagTermsAndCondChecked	esp	Leído y aceptado	date20030502	
				
LangTagContentLanguage	deu	DE	date20030502	
LangTagContentLanguage	eng	EN	date20030502	
LangTagContentLanguage	esp	ES	date20030502	
LangTagContentLanguage	plk	PL	date20030502	
LangTagContentLanguage	trk	TR	date20030502	
x				
LangTagExpirationMonth	deu	GültigkeitMonat	date20030502	
LangTagExpirationMonth	eng	ExpirationMonth	date20030502	
LangTagExpirationMonth	esp	Caducidad Mes	date20030502	
LangTagExpirationYear	deu	GültigkeitJahr	date20030502	
LangTagExpirationYear	eng	ExpirationYear	date20030502	
LangTagExpirationYear	esp	Caducidad Año	date20030502	
				
LangTagFNFieldCompany	deu	Firma	date20030509	
LangTagFNFieldCompany	eng	Company	date20030509	
LangTagFNFieldCompany	esp	Empresa	date20030509	
LangTagFNFieldFormToAddress	deu	Anrede	date20030509	
LangTagFNFieldFormToAddress	eng	Title	date20030509	
LangTagFNFieldFormToAddress	esp	Tratamiento	date20030509	
LangTagFNFieldFirstName	deu	Vorname	date20030509	
LangTagFNFieldFirstName	eng	FirstName	date20030509	
LangTagFNFieldFirstName	esp	Nombre	date20030509	
LangTagFNFieldLastName	deu	Nachname	date20030509	
LangTagFNFieldLastName	eng	LastName	date20030509	
LangTagFNFieldLastName	esp	Apellido	date20030509	
LangTagFNFieldAddress	deu	Strasse	date20030509	
LangTagFNFieldAddress	eng	Address1	date20030509	
LangTagFNFieldAddress	esp	Calle	date20030509	
LangTagFNFieldAddress2	deu	Strasse2	date20030509	
LangTagFNFieldAddress2	eng	Address2	date20030509	
LangTagFNFieldAddress2	esp	Provincia	date20030509	
LangTagFNFieldCity	deu	Ort	date20030509	
LangTagFNFieldCity	eng	Town_City	date20030509	
LangTagFNFieldCity	esp	Población	date20030509	
LangTagFNFieldZipCode	deu	PLZ	date20030509	
LangTagFNFieldZipCode	eng	Postcode_Zipcode	date20030509	
LangTagFNFieldZipCode	esp	Cod. postal	date20030509	
LangTagFNFieldState	deu	Land	date20030509	
LangTagFNFieldState	eng	Country_State	date20030509	
LangTagFNFieldState	esp	País	date20030509	
LangTagFNFieldEmail	deu	Email	date20030509	
LangTagFNFieldEmail	eng	Email	date20030509	
LangTagFNFieldEmail	esp	Email	date20030509	
LangTagFNFieldPhone	deu	Telefon	date20030509	
LangTagFNFieldPhone	eng	Phone	date20030509	
LangTagFNFieldPhone	esp	Teléfono	date20030509	
LangTagFNFieldFax	deu	Fax	date20030509	
LangTagFNFieldFax	eng	Fax	date20030509	
LangTagFNFieldFax	esp	Fax	date20030509	
LangTagFNFieldShippingAddress	deu	Abweichende_Lieferadresse	date20030509	
LangTagFNFieldShippingAddress	eng	ShippingAddress	date20030509	
LangTagFNFieldShippingAddress	esp	Dirección de envío 	date20030509	
LangTagFNFinancialInstitution	deu	Geldinstitut	date20030509	
LangTagFNFinancialInstitution	eng	FinancialInstitution	date20030509	
LangTagFNFinancialInstitution	esp	Entidad bancaria	date20030509	
LangTagFNBankCodeNumber	deu	BLZ	date20030509	
LangTagFNBankCodeNumber	eng	BankCode	date20030509	
LangTagFNBankCodeNumber	esp	Clavebancaria	date20030509	
LangTagFNAccountNumber	deu	Kontonummer	date20030509	
LangTagFNAccountNumber	eng	AccountNumber	date20030509	
LangTagFNAccountNumber	esp	Número de cuenta bancaria	date20030509	
LangTagFNAccountHolder	deu	Kontoinhaber	date20030509	
LangTagFNAccountHolder	eng	AccountHolder	date20030509	
LangTagFNAccountHolder	esp	Titular de la cuenta	date20030509	
LangTagFNCreditCard	deu	Kreditinstitut	date20030509	
LangTagFNCreditCard	eng	CreditCard	date20030509	
LangTagFNCreditCard	esp	Tarjeta de crédito	date20030509	
LangTagFNMonthExpirationDate	deu	GueltigkeitMonat	date20030509	
LangTagFNMonthExpirationDate	eng	ExpirationDateMonth	date20030509	
LangTagFNMonthExpirationDate	esp	Caducidad Mes	date20030509	
LangTagFNYearExpirationDate	deu	GueltigkeitJahr	date20030509	
LangTagFNYearExpirationDate	eng	ExpirationDateYear	date20030509	
LangTagFNYearExpirationDate	esp	Caducidad Año	date20030509	
LangTagFNCreditCardNumber	deu	Kreditkartennummer	date20030509	
LangTagFNCreditCardNumber	eng	CreditCardNumber	date20030509	
LangTagFNCreditCardNumber	esp	Número de tarjeta	date20030509	
LangTagFNCreditCardHolder	deu	Kreditkarteninhaber	date20030509	
LangTagFNCreditCardHolder	eng	CreditCardHolder	date20030509	
LangTagFNCreditCardHolder	esp	Titular de tarjeta	date20030509	
				
LangTagOrderGSShopBuilder	deu	Bestellung GS ShopBuilder	date20030509	
LangTagOrderGSShopBuilder	eng	Order GS ShopBuilder	date20030509	Alle weiteren Sprachen: Order GS ShopBuilder
LangTagOrderGSShopBuilder	esp	Pedido GS ShopBuilder	date20030509	
				
LangTagFNIssueNumber	deu	Pruefnummer	date20030509	
LangTagFNIssueNumber	eng	IssueNumber_SwitchSolo	date20030509	
LangTagFNIssueNumber	esp	Número de control	date20030509	
x			date20030509	
LangTagFNSecurityCode	deu	Pruefnummer2	date20030509	
LangTagFNSecurityCode	eng	SecurityCode	date20030509	
LangTagFNSecurityCode	esp	Número de control 2	date20030509	
				
LangTagPersonalData	deu	Personenbezogene Daten	date20030509	
LangTagPersonalData	eng	Personal Data	date20030509	
LangTagPersonalData	esp	Datos personales	date20030509	
				
LangTagItemData	deu	Artikelbezogene Daten	date20030509	
LangTagItemData	eng	Item Data	date20030509	
LangTagItemData	esp	Datos de Artículo(s) 	date20030509	
				
LangTagFNTermsAndCond	deu	AGB	date20030514	
LangTagFNTermsAndCond	eng	Conditions	date20030514	
LangTagFNTermsAndCond	esp	Condiciones generales	date20030514	
x			date20030315	
x			date20030315	
x			date20030323	
x			date20030323	
x				
x				
LangTagTellAFriend	deu	Tell a friend	date20040128	
LangTagTellAFriend	esp	Dígaselo a un amigo	date20040128	
LangTagTellAFriend	plk	Tell a friend	date20040128	
				
LangTagFNFieldMessage	deu	Nachricht	date20040128	
LangTagFNFieldMessage	esp	Mensaje	date20040128	
LangTagFNFieldMessage	plk	Wiadomo??	date20040128	
				
LangTagFieldMessage	deu	Weitere Nachricht?	date20040128	
LangTagFieldMessage	esp	¿Mensaje adicional?	date20040128	
LangTagFieldMessage	plk	Dalsza wiadomo??	date20040128	
				
LangTagFNFieldFirstNameSender	deu	AbsenderVorname	date20040128	
LangTagFNFieldFirstNameSender	esp	Nombre Remitente	date20040128	
LangTagFNFieldFirstNameSender	plk	Imie Nadawcy	date20040128	
				
LangTagFNFieldLastNameSender	deu	AbsenderNachname	date20040128	
LangTagFNFieldLastNameSender	esp	Apellido Remitente	date20040128	
LangTagFNFieldLastNameSender	plk	Nazwisko Nadawcy	date20040128	
				
LangTagSubmit	deu	Abschicken	date20040128	
LangTagSubmit	esp	Enviar	date20040128	
LangTagSubmit	plk	Wys?a?	date20040128	
				
LangTagYourFriend	deu	Artikel weiterempfehlen an	date20040128	
LangTagYourFriend	esp	Recomendar artículo a 	date20040128	
LangTagYourFriend	plk	Poleci? artyku?	date20040128	
				
LangTagYourName	deu	Ihr Name	date20040128	
LangTagYourName	esp	Su nombre	date20040128	
LangTagYourName	plk	Twoje nazwisko	date20040128	
				
LangTagHello	deu	Hallo	date20040128	
LangTagHello	esp	Hola	date20040128	
